"","year","origin","asylum","population_type","population"
"244","2023","Palestinian","State of Palestine","female_18-59",648792
"245","2023","Palestinian","State of Palestine","female_60",148503
"246","2023","Palestinian","State of Palestine","female_total",1233324
"247","2023","Palestinian","State of Palestine","male_0-4",111357
"248","2023","Palestinian","State of Palestine","male_5-11",188384
"249","2023","Palestinian","State of Palestine","male_12-17",159770
"250","2023","Palestinian","State of Palestine","male_18-59",672616
"251","2023","Palestinian","State of Palestine","male_60",131243
"252","2023","Palestinian","State of Palestine","male_total",1263370
"253","2023","Palestinian","State of Palestine","total",2496694
"254","2023","Palestinian","State of Palestine","f_minor_all",436029
"255","2023","Palestinian","State of Palestine","m_minor_all",459511
"256","2023","Palestinian","Jordan","female_0-4",38871
"257","2023","Palestinian","Jordan","female_5-11",109845
"258","2023","Palestinian","Jordan","female_12-17",129304
"259","2023","Palestinian","Jordan","female_18-59",709550
"260","2023","Palestinian","Jordan","female_60",182547
"261","2023","Palestinian","Jordan","female_total",1170117
"262","2023","Palestinian","Jordan","male_0-4",41415
"263","2023","Palestinian","Jordan","male_5-11",115346
"264","2023","Palestinian","Jordan","male_12-17",135901
"265","2023","Palestinian","Jordan","male_18-59",741796
"266","2023","Palestinian","Jordan","male_60",187956
"267","2023","Palestinian","Jordan","male_total",1222414
"268","2023","Palestinian","Jordan","total",2392531
"269","2023","Palestinian","Jordan","f_minor_all",278020
"270","2023","Palestinian","Jordan","m_minor_all",292662
"271","2023","Palestinian","Lebanon","female_0-4",10852
"272","2023","Palestinian","Lebanon","female_5-11",21147
"273","2023","Palestinian","Lebanon","female_12-17",19453
"274","2023","Palestinian","Lebanon","female_18-59",142267
"275","2023","Palestinian","Lebanon","female_60",49304
"276","2023","Palestinian","Lebanon","female_total",243023
"277","2023","Palestinian","Lebanon","male_0-4",11413
"278","2023","Palestinian","Lebanon","male_5-11",22558
"279","2023","Palestinian","Lebanon","male_12-17",20619
"280","2023","Palestinian","Lebanon","male_18-59",146929
"281","2023","Palestinian","Lebanon","male_60",48291
"282","2023","Palestinian","Lebanon","male_total",249810
