"","year","origin","asylum","population_type","population","gender","age"
"194","2022","Palestinian","State of Palestine","f_minor_all",437296,"f","minor_all"
"195","2022","Palestinian","State of Palestine","m_minor_all",461131,"m","minor_all"
"196","2022","Palestinian","Jordan","female_0-4",42671,"female","0-4"
"197","2022","Palestinian","Jordan","female_5-11",112582,"female","5-11"
"198","2022","Palestinian","Jordan","female_12-17",130713,"female","12-17"
"199","2022","Palestinian","Jordan","female_18-59",697236,"female","18-59"
"200","2022","Palestinian","Jordan","female_60",173131,"female","60"
"201","2022","Palestinian","Jordan","female_total",1156333,"female","total"
"202","2022","Palestinian","Jordan","male_0-4",45440,"male","0-4"
"203","2022","Palestinian","Jordan","male_5-11",118590,"male","5-11"
"204","2022","Palestinian","Jordan","male_12-17",136541,"male","12-17"
"205","2022","Palestinian","Jordan","male_18-59",730014,"male","18-59"
"206","2022","Palestinian","Jordan","male_60",178172,"male","60"
"207","2022","Palestinian","Jordan","male_total",1208757,"male","total"
"208","2022","Palestinian","Jordan","total",2365090,"total",""
"209","2022","Palestinian","Jordan","f_minor_all",285966,"f","minor_all"
"210","2022","Palestinian","Jordan","m_minor_all",300571,"m","minor_all"
"211","2022","Palestinian","Lebanon","female_0-4",11093,"female","0-4"
"212","2022","Palestinian","Lebanon","female_5-11",21290,"female","5-11"
"213","2022","Palestinian","Lebanon","female_12-17",19168,"female","12-17"
"214","2022","Palestinian","Lebanon","female_18-59",142095,"female","18-59"
"215","2022","Palestinian","Lebanon","female_60",46663,"female","60"
"216","2022","Palestinian","Lebanon","female_total",240309,"female","total"
"217","2022","Palestinian","Lebanon","male_0-4",11708,"male","0-4"
"218","2022","Palestinian","Lebanon","male_5-11",22526,"male","5-11"
"219","2022","Palestinian","Lebanon","male_12-17",20360,"male","12-17"
"220","2022","Palestinian","Lebanon","male_18-59",146815,"male","18-59"
"221","2022","Palestinian","Lebanon","male_60",45564,"male","60"
"222","2022","Palestinian","Lebanon","male_total",246973,"male","total"
"223","2022","Palestinian","Lebanon","total",487282,"total",""
"224","2022","Palestinian","Lebanon","f_minor_all",51551,"f","minor_all"
"225","2022","Palestinian","Lebanon","m_minor_all",54594,"m","minor_all"
"226","2022","Palestinian","Syrian Arab Rep.","female_0-4",18133,"female","0-4"
"227","2022","Palestinian","Syrian Arab Rep.","female_5-11",33009,"female","5-11"
"228","2022","Palestinian","Syrian Arab Rep.","female_12-17",33771,"female","12-17"
"229","2022","Palestinian","Syrian Arab Rep.","female_18-59",162300,"female","18-59"
"230","2022","Palestinian","Syrian Arab Rep.","female_60",43485,"female","60"
"231","2022","Palestinian","Syrian Arab Rep.","female_total",290698,"female","total"
"232","2022","Palestinian","Syrian Arab Rep.","male_0-4",18709,"male","0-4"
"233","2022","Palestinian","Syrian Arab Rep.","male_5-11",34661,"male","5-11"
"234","2022","Palestinian","Syrian Arab Rep.","male_12-17",35191,"male","12-17"
"235","2022","Palestinian","Syrian Arab Rep.","male_18-59",164228,"male","18-59"
"236","2022","Palestinian","Syrian Arab Rep.","male_60",37236,"male","60"
"237","2022","Palestinian","Syrian Arab Rep.","male_total",290025,"male","total"
